host_since,host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel,amenities_category
2017-01-26,33.0,True,True,ΠΕΔΙΟ ΑΡΕΩΣ,37.99432,23.73289,Entire home/apt,4,2.0,35,45.32,2,350,140,22,0.69,True,private,1.0,0,0,0,0,0,high
2019-02-15,1.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99771,23.73157,Entire home/apt,6,3.0,24,36.050000000000004,3,15,50,44,1.59,False,private,1.0,0,0,0,0,0,low
2017-11-22,22.0,True,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96737,23.72493,Entire home/apt,4,4.0,27,36.050000000000004,1,365,117,23,0.75,True,private,1.0,0,0,0,0,0,medium
2017-08-22,9.0,True,True,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98212,23.72115,Entire home/apt,3,2.0,17,36.050000000000004,1,30,43,213,7.17,True,private,1.0,0,0,0,0,0,low
2019-02-16,2.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.981190000000005,23.71851,Entire home/apt,2,1.0,25,40.17,2,30,163,15,0.49,False,private,1.0,0,0,0,0,0,low
2016-06-04,1.0,False,True,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98718,23.71171,Entire home/apt,4,3.0,28,32.96,2,60,178,11,0.35,False,private,1.0,0,0,0,0,0,medium
2015-05-28,1.0,False,True,ΣΕΠΟΛΙΑ,38.00325,23.7152,Entire home/apt,4,4.0,43,30.900000000000002,2,60,145,16,0.5,True,private,1.5,0,0,0,0,0,high
2016-10-12,3.0,True,True,ΣΤΑΔΙΟ,37.96625,23.73515,Entire home/apt,4,2.0,47,52.53,2,1125,330,53,1.77,True,private,1.0,0,0,0,0,0,high
2011-11-05,4.0,True,True,ΘΗΣΕΙΟ,37.97449,23.71515,Entire home/apt,4,2.0,40,123.60000000000001,1,1125,319,21,0.7,True,private,1.0,0,0,0,0,0,high
2012-06-23,34.0,True,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96435,23.722620000000003,Entire home/apt,3,2.0,35,46.35,2,1125,208,1,0.03,True,private,1.0,0,0,0,0,0,high
2019-02-15,1.0,True,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00208,23.73184,Entire home/apt,4,2.0,15,56.65,3,1125,364,0,0.0,False,private,1.0,0,0,0,0,0,low
2019-02-17,1.0,False,False,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99611,23.72186,Entire home/apt,4,1.0,22,36.050000000000004,2,7,0,3,0.1,False,private,1.0,0,0,0,0,0,low
2018-04-28,2.0,False,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00244,23.73061,Entire home/apt,4,2.0,31,30.900000000000002,5,1125,264,0,0.0,True,private,1.0,0,0,0,0,0,medium
2011-06-27,106.0,True,False,ΚΟΛΩΝΑΚΙ,37.98024,23.74874,Entire home/apt,10,7.0,28,173.04,2,730,21,34,1.34,True,private,3.0,0,0,0,0,0,medium
2018-09-27,2.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98864,23.73007,Entire home/apt,6,3.0,23,71.07000000000001,2,1125,298,29,0.92,True,private,1.0,0,0,0,0,0,low
2019-02-18,1.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97875,23.72594,Entire home/apt,4,1.0,25,84.46000000000001,1,1125,355,129,4.43,True,private,1.5,0,0,0,0,0,low
2017-10-07,13.0,True,True,ΠΕΤΡΑΛΩΝΑ,37.96621,23.71229,Entire home/apt,2,1.0,24,48.410000000000004,2,14,132,61,2.03,True,private,1.0,0,0,0,0,0,low
