host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel
1.0,False,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,5,4.0,low,61.800000000000004,1,30,361,63,0.63,False,private,1.0,0,1,1,0,0
14.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,3,1.0,high,53.56,1,1125,308,211,2.64,False,private,1.0,1,1,1,1,0
2.0,True,True,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,2,1.0,low,25.75,3,1125,266,163,1.65,False,private,1.0,0,1,0,0,0
1.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,5,4.0,low,54.59,2,1125,364,13,0.2,False,private,1.5,0,0,0,0,0
1.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,2,1.0,low,49.44,5,1125,9,8,0.14,False,private,1.0,0,0,0,0,0
1.0,True,False,ΙΛΙΣΙΑ,Entire home/apt,4,2.0,low,71.07000000000001,444,1125,365,12,0.12,False,private,1.0,0,0,0,0,0
2.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,6,3.0,high,51.5,1,30,147,272,3.04,False,private,1.5,0,1,1,0,1
1.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,3.0,low,82.4,2,1125,208,45,0.66,False,private,1.0,0,0,1,0,0
0.0,True,True,ΝΙΡΒΑΝΑ,Entire home/apt,6,2.0,high,32.96,2,30,279,386,4.33,True,private,1.0,0,1,0,0,0
2.0,False,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,6,4.0,high,51.5,1,1125,133,80,0.87,False,private,1.5,0,1,0,1,0
3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,2.0,medium,50.47,1,1125,126,326,3.9,True,private,1.0,1,0,0,0,0
12.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,6,2.0,high,115.36,2,365,365,88,0.94,True,private,1.5,1,0,1,1,1
2.0,False,False,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,3.0,low,103.0,3,30,364,3,0.03,False,private,2.0,0,0,0,0,0
2.0,False,False,ΑΚΡΟΠΟΛΗ,Private room,2,1.0,low,41.2,2,1125,364,15,0.17,False,private,1.0,0,0,0,0,0
19.0,True,True,ΚΥΨΕΛΗ,Private room,2,1.0,high,30.900000000000002,3,1125,230,83,1.04,False,shared,1.5,1,0,1,0,1
2.0,False,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,4,2.0,high,61.800000000000004,3,1125,229,560,5.61,True,private,1.0,1,0,1,1,1
1.0,True,False,ΛΥΚΑΒΗΤΤΟΣ,Entire home/apt,6,3.0,high,143.17000000000002,2,28,330,135,1.37,False,private,2.0,1,1,1,1,0
1.0,False,False,ΠΕΤΡΑΛΩΝΑ,Entire home/apt,5,1.0,low,45.32,1,1125,0,0,0.0,False,private,0.0,0,0,0,0,0
1.0,True,True,ΚΟΛΩΝΟΣ,Entire home/apt,2,1.0,low,46.35,2,1000,337,401,5.25,True,private,1.0,1,0,0,0,0
